Tag,Date,Time,PID,TID,Level,Message
M01F9C6,06-07,09:46:06.815,765,10481,I,"SPRDAVCDecoder: onQueueFilled, 1331, decRet: -9, 0ms, dec_out.frameEffective: 0, needIVOP: 1, in {0xe42fd000, 0x20000000}, consume byte: 27, flag:0x90, SPS:1, PPS:0, pts:0
"
M01F9CA,06-07,09:46:06.816,765,10481,I,"SPRDAVCDecoder: onQueueFilled, 1331, decRet: -9, 0ms, dec_out.frameEffective: 0, needIVOP: 1, in {0xe42fd000, 0x20000000}, consume byte: 8, flag:0x90, SPS:1, PPS:1, pts:0
"
M01F9CD,06-07,09:46:06.816,765,10481,I,"SPRDAVCDecoder: onQueueFilled, 1331, decRet: -9, 0ms, dec_out.frameEffective: 0, needIVOP: 1, in {0xe42fd000, 0x20000000}, consume byte: 521, flag:0x10, SPS:1, PPS:1, pts:0
"
M01F9DB,06-07,09:46:06.818,765,10481,I,"SPRDAVCDecoder: onQueueFilled, 1331, decRet: 0, 1ms, dec_out.frameEffective: 1, needIVOP: 1, in {0xe42fd000, 0x20000000}, consume byte: 484, flag:0x10, SPS:1, PPS:1, pts:0
"
M01F9E2,06-07,09:46:06.820,765,10481,I,"SPRDAVCDecoder: onQueueFilled, 1331, decRet: 0, 1ms, dec_out.frameEffective: 1, needIVOP: 0, in {0xe42fd000, 0x20000000}, consume byte: 15, flag:0x10, SPS:1, PPS:1, pts:41708
"
M01F9E7,06-07,09:46:06.822,765,10481,I,"SPRDAVCDecoder: onQueueFilled, 1331, decRet: 0, 1ms, dec_out.frameEffective: 1, needIVOP: 0, in {0xe42fd000, 0x20000000}, consume byte: 13, flag:0x10, SPS:1, PPS:1, pts:83416
"
M01F9ED,06-07,09:46:06.824,765,10481,I,"SPRDAVCDecoder: onQueueFilled, 1331, decRet: 0, 1ms, dec_out.frameEffective: 1, needIVOP: 0, in {0xe42fd000, 0x20000000}, consume byte: 13, flag:0x10, SPS:1, PPS:1, pts:125125
"
M01F9F3,06-07,09:46:06.825,765,10481,I,"SPRDAVCDecoder: onQueueFilled, 1331, decRet: 0, 1ms, dec_out.frameEffective: 1, needIVOP: 0, in {0xe42fd000, 0x20000000}, consume byte: 13, flag:0x10, SPS:1, PPS:1, pts:166833
"
M01F9F8,06-07,09:46:06.828,765,10481,I,"SPRDAVCDecoder: onQueueFilled, 1331, decRet: 0, 1ms, dec_out.frameEffective: 1, needIVOP: 0, in {0xe42fd000, 0x20000000}, consume byte: 36, flag:0x10, SPS:1, PPS:1, pts:208541
"
M01FA29,06-07,09:46:06.875,765,10481,I,"SPRDAVCDecoder: onQueueFilled, 1331, decRet: 0, 1ms, dec_out.frameEffective: 1, needIVOP: 0, in {0xe42fd000, 0x20000000}, consume byte: 27, flag:0x10, SPS:1, PPS:1, pts:250250
"
M01FA31,06-07,09:46:06.878,765,10481,I,"SPRDAVCDecoder: onQueueFilled, 1331, decRet: 0, 1ms, dec_out.frameEffective: 1, needIVOP: 0, in {0xe42fd000, 0x20000000}, consume byte: 58, flag:0x10, SPS:1, PPS:1, pts:291958
"
M01FA7D,06-07,09:46:06.909,765,10481,I,"SPRDAVCDecoder: onQueueFilled, 1331, decRet: 0, 1ms, dec_out.frameEffective: 1, needIVOP: 0, in {0xe42fd000, 0x20000000}, consume byte: 47, flag:0x10, SPS:1, PPS:1, pts:333666
"
M01FA84,06-07,09:46:06.913,765,10481,I,"SPRDAVCDecoder: onQueueFilled, 1331, decRet: 0, 3ms, dec_out.frameEffective: 1, needIVOP: 0, in {0xe42fd000, 0x20000000}, consume byte: 104, flag:0x10, SPS:1, PPS:1, pts:375375
"
M01FA8B,06-07,09:46:06.916,765,10481,I,"SPRDAVCDecoder: onQueueFilled, 1331, decRet: 0, 1ms, dec_out.frameEffective: 1, needIVOP: 0, in {0xe42fd000, 0x20000000}, consume byte: 1341, flag:0x10, SPS:1, PPS:1, pts:417083
"
M01FB68,06-07,09:46:07.045,765,10481,I,"SPRDAVCDecoder: onQueueFilled, 1331, decRet: 0, 1ms, dec_out.frameEffective: 1, needIVOP: 0, in {0xe42fd000, 0x20000000}, consume byte: 1938, flag:0x10, SPS:1, PPS:1, pts:458791
"
M01FB89,06-07,09:46:07.075,765,10481,I,"SPRDAVCDecoder: onQueueFilled, 1331, decRet: 0, 1ms, dec_out.frameEffective: 1, needIVOP: 0, in {0xe42fd000, 0x20000000}, consume byte: 2275, flag:0x10, SPS:1, PPS:1, pts:500500
"
M01FB91,06-07,09:46:07.127,765,10481,I,"SPRDAVCDecoder: onQueueFilled, 1331, decRet: 0, 1ms, dec_out.frameEffective: 1, needIVOP: 0, in {0xe42fd000, 0x20000000}, consume byte: 1801, flag:0x10, SPS:1, PPS:1, pts:542208
"
M01FB97,06-07,09:46:07.156,765,10481,I,"SPRDAVCDecoder: onQueueFilled, 1331, decRet: 0, 2ms, dec_out.frameEffective: 1, needIVOP: 0, in {0xe42fd000, 0x20000000}, consume byte: 1679, flag:0x10, SPS:1, PPS:1, pts:583916
"
